Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
197,StGregoryHsk,464.875,,0.6,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,50W,Housekeeping,,,,
198,Marriott Eng,466.6875,,0.6,TSQL,123,123,23,NN,23,Tone->Tone,FM,5,,50W,Engineering,,,,
199,EVENTS,452.0625,,0.6,DTCS,88.5,88.5,205,NN,205,Tone->Tone,FM,5,,50W,Banquets?,,,,
200,ENGINEERING,452.1125,,0.6,DTCS,88.5,88.5,331,NN,331,Tone->Tone,FM,5,,50W,Engineering,,,,
201,Crowne House,452.1875,,0.6,DTCS,88.5,88.5,351,NN,351,Tone->Tone,FM,5,,50W,Housekeeping,,,,
202,Crowne Plaza,452.2375,,0.6,TSQL,179.9,179.9,23,NN,23,Tone->Tone,FM,5,,50W,Security,,,,
203,Crtyd CH/NY,462.6125,,0.6,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5,,50W,Engineering/Housekeeping,,,,
204,HotelMonaco,451.7125,,0.6,DTCS,88.5,88.5,251,NN,251,Tone->Tone,NFM,5,,50W,Hotel Monaco,,,,
205,RFK Eng,464.375,split,469.375,TSQL,110.9,110.9,23,NN,23,Tone->Tone,NFM,5,,50W,Engineering/Facilities,,,,
206,CSC Primary,461.5125,,0.6,DTCS,88.5,88.5,152,NN,152,Tone->Tone,NFM,5,,50W,Contemporary Services Corporation (Event Services) - Primary,,,,
207,CSC On-Field,461.3875,,0.6,DTCS,88.5,88.5,152,NN,152,Tone->Tone,NFM,5,,50W,Contemporary Services Corporation (Event Services) - On-Field Operations,,,,
208,RFK GuestSrv,461.8125,,0.6,DTCS,88.5,88.5,311,NN,311,Tone->Tone,NFM,5,,50W,Guest Services,,,,
209,RFK H/K,466.1125,,0.6,DTCS,88.5,88.5,311,NN,311,Tone->Tone,FM,5,,50W,Housekeeping,,,,
210,NatShrineSec,461.2,split,466.2,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,5,,50W,Security,,,,
211,NatCathTours,467.7125,,0.6,TSQL,233.6,233.6,23,NN,23,Tone->Tone,FM,5,,50W,Tour Guides,,,,
212,WNC Police,461.675,split,466.675,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Police,,,,
213,NatlCathSchGirls,461.3,split,466.3,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,National Cathedral School for Girls,,,,
214,Corc 451.375,451.375,,0.6,TSQL,162.2,162.2,23,NN,23,Tone->Tone,FM,5,,50W,Unknown,,,,
215,Corc 452.6,452.6,,0.6,TSQL,162.2,162.2,23,NN,23,Tone->Tone,FM,5,,50W,Unknown,,,,
216,Corc Sec?,462.3,,0.6,TSQL,162.2,162.2,23,NN,23,Tone->Tone,FM,5,,50W,Security?,,,,
217,Corc 469.825,469.825,,0.6,TSQL,162.2,162.2,23,NN,23,Tone->Tone,FM,5,,50W,Unknown,,,,
218,PhillipsColl,463.425,split,468.425,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Phillips Collection,,,,
219,SpyMuse Sec,464.9125,,0.6,TSQL,146.2,146.2,23,NN,23,Tone->Tone,FM,5,,50W,Security,,,,
220,JADOC Sparkl,139.15,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Sparkle System,,,,
221,MetroPD Disp,161.385,split,160.725,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Police Ch. 1/2 Dispatch,,,,
222,Ritz Engnrg,461.325,split,466.325,DTCS,88.5,88.5,411,NN,411,Tone->Tone,FM,5,,50W,Engineering,,,,
223,RtzCrltnMaid,461.325,split,466.325,DTCS,88.5,88.5,413,NN,413,Tone->Tone,FM,5,,50W,Housekeeping,,,,
224,Ritz - Valet,461.325,split,466.325,DTCS,88.5,88.5,431,NN,431,Tone->Tone,FM,5,,50W,Valet,,,,
225,In-Room Dine,461.325,split,466.325,DTCS,88.5,88.5,445,NN,445,Tone->Tone,FM,5,,50W,In-Room Dining,,,,
226,1/5,148.15,split,143.9,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,50W,Operations Primary (also uses 100.0 PL),,,,
227,2/6,148.125,split,143.75,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,Operations Secondary,,,,
228,4,149.5375,,0.6,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,Aircraft-to-Ground,,,,
229,3,148.1375,,0.6,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,50W,Talk-Around,,,,
230,PEPCO 1 Mont,451.025,split,456.025,TSQL,173.8,173.8,23,NN,23,Tone->Tone,NFM,5,,50W,Montgomery County Operations,,,,
231,PEPCO 2 DC,451.05,split,456.05,TSQL,192.8,192.8,23,NN,23,Tone->Tone,NFM,5,,50W,DC Operations,,,,
232,PEPCO 3 PG,451.075,split,456.075,TSQL,173.8,173.8,23,NN,23,Tone->Tone,NFM,5,,50W,Prince George's County Operations,,,,
233,PEPCO 4 Sec,451.15,split,456.15,TSQL,173.8,173.8,23,NN,23,Tone->Tone,NFM,5,,50W,Security,,,,
234,PEPCO 5 Metr,451.125,split,456.125,TSQL,192.8,192.8,23,NN,23,Tone->Tone,NFM,5,,50W,Meter Reading,,,,
235,PEPCO 6 U-U,451.25,,0.6,TSQL,192.8,192.8,23,NN,23,Tone->Tone,NFM,5,,50W,Unit-to-Unit,,,,
236,PEPCO Sec,454.275,split,459.275,TSQL,173.8,173.8,23,NN,23,Tone->Tone,NFM,5,,50W,Security,,,,
237,PEPCO 454.52,454.525,split,459.525,TSQL,173.8,173.8,23,NN,23,Tone->Tone,NFM,5,,50W,Operations,,,,
238,PEPCO 453.125,453.125,split,458.125,TSQL,173.8,173.8,23,NN,23,Tone->Tone,NFM,5,,50W,Operations,,,,
