Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
51,Target 1,467.750000,,0.600000,DTCS,88.5,88.5,115,NN,115,Tone->Tone,NFM,5.00,,50W,Target Ch 1,,,,
52,Target 2,467.775000,,0.600000,DTCS,88.5,88.5,072,NN,072,Tone->Tone,NFM,5.00,,50W,Target Ch 2,,,,
53,Target 3,467.925000,,0.600000,DTCS,88.5,88.5,155,NN,155,Tone->Tone,NFM,5.00,,50W,Target Ch 3,,,,
54,Target 4,467.900000,,0.600000,DTCS,88.5,88.5,205,NN,205,Tone->Tone,NFM,5.00,,50W,Target Ch 4,,,,
55,CTAF,122.975000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,CTAF/Unicom,,,,
56,AWOS,124.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Automated Weather Observation System (AWOS),,,,
57,WRAA Ops,453.425000,split,458.425000,DTCS,88.5,88.5,165,NN,165,Tone->Tone,FM,5.00,,50W,Operations,,,,
58,GeorgeWash Hotel,467.812500,,0.600000,TSQL,218.1,218.1,023,NN,023,Tone->Tone,NFM,5.00,,50W,George Washington Hotel,,,,
59,Sears,151.655000,,0.600000,DTCS,88.5,88.5,261,NN,261,Tone->Tone,FM,5.00,,50W,Sears,,,,
60,Amer Eagle,467.850000,,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,American Eagle Outfitters,,,,
61,RH Golf,462.462500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Rock Harbor Golf Course,,,,
