Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
56,LCPS Bus Tr .037,451.0375,split,456.0375,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Transportation - Field Trips,,,,
57,LCPS Bus Tr .062,462.0625,split,467.0625,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Transportation - Field Trips,,,,
58,LCPS Bus C .7875,463.7875,split,468.7875,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Transportation - Central,,,,
59,LCPS Bus W .7875,463.7875,split,468.7875,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Transportation - West,,,,
60,Briar Woods HS,462.825,split,467.825,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Briar Woods High School,,,,
61,LCPS Bus 462.1,462.1,split,467.1,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Transportation,,,,
62,LCPS Trans Mnt,452.175,split,457.175,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Transportation - Maintenance,,,,
63,LCPS Bus 463.225,463.225,split,468.225,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Transportation - Sterling/Ashburn area,,,,
64,Skywarn,147.3,split,147.9,TSQL,162.2,162.2,23,NN,23,Tone->Tone,FM,5,,50W,Skywarn (NWS Baltimore/Washington Forecast Office),,,,
65,Skywarn Back,145.21,split,144.61,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,50W,Skywarn Backup (NWS Baltimore/Washington Forecast Office),,,,
66,WB6EFW,442.1375,split,447.1375,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,WB6EFW,,,,
67,Lansdowne,145.185,,0.6,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,5,,50W,Lansdowne,,,,
