Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
491,70c SPLX:19,446.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,6.0W,70 cm Simplex,,,,
492,70c SPLX:20,446.162500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,6.0W,70 cm Simplex,,,,
493,70c SPLX:21,446.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,6.0W,70 cm Simplex,,,,
495,CB 1 FM,26.965000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
496,CB 2 FM,26.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
497,CB 3 FM,26.985000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
498,CB 4 FM,27.005000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
499,CB 5 FM,27.015000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
500,CB 6 FM,27.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
501,CB 7 FM,27.035000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
502,CB 8 FM,27.055000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
503,CB 9 FM,27.065000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
504,CB 10 FM,27.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
505,CB 11 FM,27.085000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
506,CB 12 FM,27.105000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
507,CB 13 FM,27.115000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
508,CB 14 FM,27.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
509,CB 15 FM,27.135000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
510,CB 16 FM,27.155000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
511,CB 17 FM,27.165000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
512,CB 18 FM,27.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
513,CB 19 FM,27.185000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
514,CB 20 FM,27.205000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
515,CB 21 FM,27.215000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
516,CB 22 FM,27.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
517,CB 23 FM,27.255000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
518,CB 24 FM,27.235000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
519,CB 25 FM,27.245000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
520,CB 26 FM,27.265000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
521,CB 27 FM,27.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
522,CB 28 FM,27.285000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
523,CB 29 FM,27.295000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,Citizen's Band FM,,,,
